hai,138
saya,47630
sampai,20742
saat,2234
ini,12421
belum,15791
dengan,3997
transaksi,10070
RE_NUMBER,26366
RE_TRANSACTION,13090
baru,1189
tolong,4303
dana,1757
dapat,900
iya,3158
gagal,615
dan,7896
barang,17604
namun,789
tidak,9759
ada,10030
kalau,1970
saja,2072
awal,125
bukan,982
ke,7276
tunggu,3026
kapan,1413
lagi,2203
bisa,6280
rekening,359
langsung,601
karena,1980
waktu,1370
pesan,3017
punya,238
kenapa,2464
padahal,2655
paket,1701
dua,294
barengRE_NUMBER,3
satu,672
mohon,5397
pihak,2897
jasa,1455
oke,3201
belu,21
sekarang,3028
estimasi,852
hanya,925
pukul,303
juga,4899
segera,1333
april,895
di,19267
minta,1934
aja,1946
usah,88
sudah,14279
dari,6316
lambat,237
itu,5324
pasti,265
terima,8201
kasih,5002
tapi,5791
masih,2041
begini,226
bagaimana,1693
kok,2953
jbRE_NUMBER,509
resi,6259
nomor,4802
RE_INVOICE,6646
masuk,904
kan,1644
uang,1646
buka,1969
dompet,853
apakah,1655
pakai,944
apa,2418
sangat,695
kecewa,629
RE_NUMBERharian,0
sejak,576
paman,16
dahulu,80
banget,300
mau,3767
pagi,1003
lapak,1604
ingin,748
dalam,652
ka,589
cek,2677
RE_NUMBER-RE_NUMBER,238
waduh,71
siap,1027
atau,1719
mah,80
butuh,653
beli,1501
pada,1104
RE_NUMBER-RE_NUMBER-RE_NUMBER,280
RE_TRANSACTIONRE_NUMBER,679
informasi,587
kota,366
kirim,4192
atas,2120
nama,1138
ganda,0
ni,387
instan,278
pagiRE_NUMBER,4
hari,7473
biar,500
klik,253
kak,1537
datang,1455
lewat,958
teh,20
salah,1107
sama,2306
ambil,314
tindak,335
tadi,1052
hilang,277
rugi,199
kemarin,1468
tetap,228
kamu,418
mRE_NUMBER,34
RE_NUMBERgb,44
telah,784
tanggal,1868
oleh,1396
konfirmasi,2456
kepada,459
orang,541
apabila,233
kerja,484
ekspedisi,650
lebih,1082
lanjut,220
